canonical_name,object_type,applies,background,compares_against,critiques,extends,uses,unclear,total_evidence_backed_edges,evidence_use_count,use_share,compare_share,critique_share,extension_share
BERT,model,78,20398,2560,236,557,3551,0,27380,6982,0.12969320672023374,0.09349890430971512,0.008619430241051863,0.020343316289262236
LSTM,model,45,14134,1692,137,389,1803,0,18200,4066,0.09906593406593407,0.09296703296703297,0.007527472527472528,0.021373626373626373
BLEU,metric,38,10470,1665,384,177,3257,0,15991,5521,0.2036770683509474,0.10412106810080671,0.024013507598023887,0.011068726158464137
Transformer,model,26,11295,863,130,231,1592,0,14137,2842,0.11261229398033529,0.06104548348305864,0.009195727523519841,0.016340100445639102
CRF,method,20,10567,834,72,255,985,0,12733,2166,0.07735804602214717,0.06549909683499568,0.005654598287913296,0.020026702269692925
WordNet,dataset_or_database,19,10516,439,119,192,801,0,12086,1570,0.06627502895912626,0.036323018368360084,0.00984610292900877,0.015886149263610788
seq2seq,model,16,7482,464,78,154,475,0,8669,1187,0.05479294036221018,0.05352405121698004,0.008997577575268197,0.017764448033221823
attention mechanism,method,11,7494,327,85,189,407,0,8513,1019,0.04780923293785974,0.03841184071420181,0.009984729237636556,0.02220133912839187
SemEval,benchmark_or_protocol,15,7116,455,24,71,625,0,8306,1190,0.07524680953527571,0.05477967734168071,0.002889477486154587,0.00854803756320732
HMM,method,6,4975,337,58,122,414,0,5912,937,0.07002706359945873,0.05700270635994587,0.009810554803788904,0.020635994587280108
GloVe,model,7,3252,496,37,83,1990,0,5865,2613,0.3393009377664109,0.0845694799658994,0.006308610400682012,0.014151747655583974
Penn Treebank,dataset_or_database,30,4451,256,49,61,973,0,5820,1369,0.16718213058419243,0.04398625429553265,0.008419243986254295,0.010481099656357388
ROUGE,metric,7,4011,431,157,38,1141,0,5785,1774,0.1972342264477096,0.07450302506482281,0.027139152981849612,0.006568712186689715
word2vec,model,3,3545,326,26,76,718,0,4694,1149,0.15296122709842352,0.06945036216446528,0.005538985939497231,0.016190881976991905
ELMo,model,15,3306,328,33,91,481,0,4254,948,0.11307005171603197,0.07710390220968501,0.007757404795486601,0.02139163140573578
Moses,software_or_tool,16,1399,394,16,32,1910,0,3767,2368,0.5070347756835678,0.10459251393681974,0.004247411733474914,0.008494823466949828
FrameNet,dataset_or_database,13,3417,62,18,48,152,0,3710,293,0.04097035040431267,0.016711590296495958,0.004851752021563342,0.01293800539083558
METEOR,metric,5,2498,299,73,30,779,0,3684,1186,0.21145494028230186,0.08116178067318132,0.019815418023887078,0.008143322475570033
SQuAD,dataset_or_database,14,2646,248,29,34,467,0,3438,792,0.1358347876672484,0.07213496218731821,0.008435136707388016,0.009889470622454915
WMT,benchmark_or_protocol,7,2358,276,14,56,632,0,3343,985,0.18905174992521687,0.08256057433443015,0.004187855219862399,0.016751420879449596
PropBank,dataset_or_database,8,2634,74,13,34,181,0,2944,310,0.06148097826086957,0.025135869565217392,0.004415760869565217,0.01154891304347826
GIZA++,software_or_tool,6,1276,232,16,33,1095,0,2658,1382,0.41196388261851014,0.0872836719337848,0.006019563581640331,0.012415349887133182
SNLI,dataset_or_database,10,1994,132,19,18,288,0,2461,467,0.11702559934985778,0.053636733035351485,0.0077204388459975615,0.007314099959366111
OntoNotes,dataset_or_database,3,1505,114,23,19,317,0,1981,476,0.16002019182231197,0.05754669358909641,0.011610297829379102,0.009591115598182737
GLUE,benchmark_or_protocol,3,1312,154,8,17,239,0,1733,421,0.13791113675706868,0.08886324293133295,0.004616272360069244,0.009809578765147143
Stanford CoreNLP,software_or_tool,18,392,30,6,13,610,0,1069,677,0.5706267539756782,0.02806361085126286,0.005612722170252572,0.01216089803554724
CoNLL-2003,benchmark_or_protocol,2,613,62,0,7,146,0,830,217,0.17590361445783131,0.0746987951807229,0.0,0.008433734939759036
MultiNLI,dataset_or_database,2,630,31,4,7,106,0,780,150,0.1358974358974359,0.03974358974358974,0.005128205128205128,0.008974358974358974
OPUS,software_or_tool,4,410,29,2,1,234,0,680,270,0.34411764705882353,0.04264705882352941,0.0029411764705882353,0.0014705882352941176
CoNLL-2012,benchmark_or_protocol,5,438,45,1,10,100,0,599,161,0.1669449081803005,0.07512520868113523,0.001669449081803005,0.01669449081803005
NLTK,software_or_tool,3,253,32,3,2,304,0,597,344,0.509212730318258,0.05360134003350084,0.005025125628140704,0.0033500837520938024
spaCy,software_or_tool,1,224,24,3,8,153,0,413,189,0.3704600484261501,0.05811138014527845,0.007263922518159807,0.01937046004842615
SuperGLUE,benchmark_or_protocol,0,228,10,1,1,15,0,255,27,0.058823529411764705,0.0392156862745098,0.00392156862745098,0.00392156862745098
