primary_candidate_intent,final_intent,rows,row_rate
applies,applies,37,0.5606060606060606
applies,uses,13,0.19696969696969696
applies,compares_against,11,0.16666666666666666
applies,background,4,0.06060606060606061
applies,critiques,1,0.015151515151515152
background,background,64,0.8648648648648649
background,compares_against,7,0.0945945945945946
background,critiques,2,0.02702702702702703
background,extends,1,0.013513513513513514
compares_against,compares_against,113,0.8692307692307693
compares_against,background,14,0.1076923076923077
compares_against,uses,2,0.015384615384615385
compares_against,critiques,1,0.007692307692307693
critiques,critiques,49,0.6621621621621622
critiques,background,15,0.20270270270270271
critiques,compares_against,9,0.12162162162162163
critiques,extends,1,0.013513513513513514
extends,extends,60,0.8823529411764706
extends,background,3,0.04411764705882353
extends,compares_against,2,0.029411764705882353
extends,applies,1,0.014705882352941176
extends,unclear,1,0.014705882352941176
extends,uses,1,0.014705882352941176
unclear,background,11,0.5238095238095238
unclear,compares_against,4,0.19047619047619047
unclear,uses,4,0.19047619047619047
unclear,applies,1,0.047619047619047616
unclear,extends,1,0.047619047619047616
uses,uses,126,0.8456375838926175
uses,background,14,0.09395973154362416
uses,compares_against,7,0.04697986577181208
uses,applies,2,0.013422818791946308
