object_id,canonical_name,object_type,applies,background,compares_against,critiques,extends,uses,total_edges,non_background_edges,uses_share_non_background,compares_share_non_background,critiques_share_non_background,background_share
obj_bert,BERT,model,78,20398,2560,236,557,3551,27380,6982,0.5085935262102549,0.3666571183042108,0.033801203093669435,0.7449963476990504
obj_lstm,LSTM,model,45,14134,1692,137,389,1803,18200,4066,0.44343334972946385,0.4161337924249877,0.03369404820462371,0.7765934065934066
obj_bleu,BLEU,metric,38,10470,1665,384,177,3257,15991,5521,0.5899293606230755,0.30157580148523816,0.06955261727947835,0.6547432931023701
obj_transformer,Transformer,model,26,11295,863,130,231,1592,14137,2842,0.5601688951442646,0.30365939479239973,0.04574243490499648,0.7989672490627432
obj_crf,CRF,method,20,10567,834,72,255,985,12733,2166,0.45475530932594643,0.3850415512465374,0.0332409972299169,0.8298908348386084
obj_wordnet,WordNet,dataset_or_database,19,10516,439,119,192,801,12086,1570,0.5101910828025478,0.27961783439490445,0.07579617834394904,0.8700976336256826
obj_seq2seq,seq2seq,model,16,7482,464,78,154,475,8669,1187,0.4001684919966302,0.3909014321819714,0.06571187868576242,0.8630753258738032
obj_attention_mechanism,attention mechanism,method,11,7494,327,85,189,407,8513,1019,0.3994111874386654,0.3209028459273798,0.08341511285574092,0.880300716551157
obj_semeval,SemEval,benchmark_or_protocol,15,7116,455,24,71,625,8306,1190,0.5252100840336135,0.38235294117647056,0.020168067226890758,0.8567300746448351
obj_hmm,HMM,method,6,4975,337,58,122,414,5912,937,0.4418356456776948,0.35965848452508004,0.061899679829242264,0.8415087956698241
obj_glove,GloVe,model,7,3252,496,37,83,1990,5865,2613,0.7615767317259855,0.18982013011863758,0.014159969383849981,0.5544757033248082
obj_penn_treebank,Penn Treebank,dataset_or_database,30,4451,256,49,61,973,5820,1369,0.7107377647918188,0.18699780861943024,0.03579254930606282,0.7647766323024054
obj_rouge,ROUGE,metric,7,4011,431,157,38,1141,5785,1774,0.6431792559188275,0.24295377677564825,0.08850056369785794,0.6933448573898012
obj_word2vec,word2vec,model,3,3545,326,26,76,718,4694,1149,0.6248912097476066,0.28372497824194953,0.022628372497824196,0.7552194290583724
obj_elmo,ELMo,model,15,3306,328,33,91,481,4254,948,0.5073839662447257,0.3459915611814346,0.03481012658227848,0.7771509167842031
obj_moses,Moses,software_or_tool,16,1399,394,16,32,1910,3767,2368,0.8065878378378378,0.16638513513513514,0.006756756756756757,0.37138306344571276
obj_framenet,FrameNet,dataset_or_database,13,3417,62,18,48,152,3710,293,0.5187713310580204,0.21160409556313994,0.06143344709897611,0.9210242587601079
obj_meteor,METEOR,metric,5,2498,299,73,30,779,3684,1186,0.6568296795952783,0.2521079258010118,0.06155143338954469,0.6780673181324647
obj_squad,SQuAD,dataset_or_database,14,2646,248,29,34,467,3438,792,0.5896464646464646,0.31313131313131315,0.036616161616161616,0.7696335078534031
obj_wmt,WMT,benchmark_or_protocol,7,2358,276,14,56,632,3343,985,0.6416243654822334,0.2802030456852792,0.014213197969543147,0.7053544720311098
obj_propbank,PropBank,dataset_or_database,8,2634,74,13,34,181,2944,310,0.5838709677419355,0.23870967741935484,0.041935483870967745,0.8947010869565217
obj_giza,GIZA++,software_or_tool,6,1276,232,16,33,1095,2658,1382,0.7923299565846599,0.1678726483357453,0.011577424023154847,0.4800601956358164
obj_snli,SNLI,dataset_or_database,10,1994,132,19,18,288,2461,467,0.6167023554603854,0.2826552462526767,0.04068522483940043,0.8102397399431126
obj_ontonotes,OntoNotes,dataset_or_database,3,1505,114,23,19,317,1981,476,0.6659663865546218,0.23949579831932774,0.04831932773109244,0.7597173144876325
obj_glue,GLUE,benchmark_or_protocol,3,1312,154,8,17,239,1733,421,0.5676959619952494,0.3657957244655582,0.019002375296912115,0.757068667051356
obj_stanford_corenlp,Stanford CoreNLP,software_or_tool,18,392,30,6,13,610,1069,677,0.9010339734121122,0.04431314623338257,0.008862629246676515,0.3666978484565014
obj_conll_2003,CoNLL-2003,benchmark_or_protocol,2,613,62,0,7,146,830,217,0.6728110599078341,0.2857142857142857,0.0,0.7385542168674699
obj_multinli,MultiNLI,dataset_or_database,2,630,31,4,7,106,780,150,0.7066666666666667,0.20666666666666667,0.02666666666666667,0.8076923076923077
obj_opus,OPUS,software_or_tool,4,410,29,2,1,234,680,270,0.8666666666666667,0.10740740740740741,0.007407407407407408,0.6029411764705882
obj_conll_2012,CoNLL-2012,benchmark_or_protocol,5,438,45,1,10,100,599,161,0.6211180124223602,0.2795031055900621,0.006211180124223602,0.7312186978297162
obj_nltk,NLTK,software_or_tool,3,253,32,3,2,304,597,344,0.8837209302325582,0.09302325581395349,0.00872093023255814,0.423785594639866
obj_spacy,spaCy,software_or_tool,1,224,24,3,8,153,413,189,0.8095238095238095,0.12698412698412698,0.015873015873015872,0.5423728813559322
obj_superglue,SuperGLUE,benchmark_or_protocol,0,228,10,1,1,15,255,27,0.5555555555555556,0.37037037037037035,0.037037037037037035,0.8941176470588236
