normalized_section,final_intent,rows,section_total,row_normalized_rate,is_unknown_section
abstract,applies,23,1156,0.019896193771626297,False
abstract,background,522,1156,0.4515570934256055,False
abstract,compares_against,253,1156,0.21885813148788927,False
abstract,critiques,45,1156,0.03892733564013841,False
abstract,extends,131,1156,0.11332179930795848,False
abstract,uses,182,1156,0.157439446366782,False
analysis,applies,11,1547,0.007110536522301228,False
analysis,background,820,1547,0.5300581771170007,False
analysis,compares_against,273,1547,0.17647058823529413,False
analysis,critiques,63,1547,0.04072398190045249,False
analysis,extends,26,1547,0.01680672268907563,False
analysis,uses,354,1547,0.22882999353587588,False
background,applies,1,2975,0.0003361344537815126,False
background,background,2514,2975,0.8450420168067226,False
background,compares_against,148,2975,0.049747899159663864,False
background,critiques,76,2975,0.025546218487394957,False
background,extends,21,2975,0.007058823529411765,False
background,uses,215,2975,0.07226890756302522,False
conclusion,applies,23,2952,0.007791327913279133,False
conclusion,background,1829,2952,0.619579945799458,False
conclusion,compares_against,586,2952,0.19850948509485095,False
conclusion,critiques,77,2952,0.0260840108401084,False
conclusion,extends,219,2952,0.0741869918699187,False
conclusion,uses,218,2952,0.07384823848238482,False
dataset,applies,89,13424,0.006629916567342074,False
dataset,background,4699,13424,0.35004469606674615,False
dataset,compares_against,1057,13424,0.07873957091775924,False
dataset,critiques,185,13424,0.013781287246722288,False
dataset,extends,166,13424,0.012365911799761622,False
dataset,uses,7228,13424,0.5384386174016687,False
discussion,applies,7,1919,0.0036477331943720686,False
discussion,background,1221,1919,0.6362688900468995,False
discussion,compares_against,465,1919,0.242313705054716,False
discussion,critiques,107,1919,0.055758207399687336,False
discussion,extends,36,1919,0.018759770713913496,False
discussion,uses,83,1919,0.04325169359041167,False
error_analysis,applies,1,179,0.00558659217877095,False
error_analysis,background,105,179,0.5865921787709497,False
error_analysis,compares_against,35,179,0.19553072625698323,False
error_analysis,critiques,6,179,0.0335195530726257,False
error_analysis,extends,5,179,0.027932960893854747,False
error_analysis,uses,27,179,0.15083798882681565,False
evaluation,applies,37,8471,0.004367843229842993,False
evaluation,background,3981,8471,0.46995632156770156,False
evaluation,compares_against,1215,8471,0.14343052768268208,False
evaluation,critiques,212,8471,0.025026561208830126,False
evaluation,extends,97,8471,0.01145083225121001,False
evaluation,uses,2929,8471,0.34576791405973323,False
experiment,applies,98,14069,0.006965669201791172,False
experiment,background,3996,14069,0.2840287156158931,False
experiment,compares_against,2526,14069,0.1795436775890255,False
experiment,critiques,139,14069,0.009879877745397683,False
experiment,extends,164,14069,0.011656834174426043,False
experiment,uses,7146,14069,0.5079252256734665,False
implementation,applies,7,1273,0.0054988216810683424,False
implementation,background,198,1273,0.15553809897879026,False
implementation,compares_against,71,1273,0.05577376276512176,False
implementation,critiques,8,1273,0.006284367635506678,False
implementation,extends,16,1273,0.012568735271013355,False
implementation,uses,973,1273,0.7643362136684996,False
introduction,applies,201,53840,0.003733283803863299,False
introduction,background,42082,53840,0.7816121842496285,False
introduction,compares_against,5522,53840,0.1025631500742942,False
introduction,critiques,2645,53840,0.04912704309063893,False
introduction,extends,875,53840,0.0162518573551263,False
introduction,uses,2515,53840,0.04671248142644874,False
method,applies,60,6348,0.00945179584120983,False
method,background,2825,6348,0.44502205419029617,False
method,compares_against,917,6348,0.14445494643982357,False
method,critiques,119,6348,0.01874606175173283,False
method,extends,237,6348,0.03733459357277883,False
method,uses,2190,6348,0.3449905482041588,False
model,applies,60,11257,0.005330016878386782,False
model,background,5305,11257,0.47126232566403126,False
model,compares_against,1446,11257,0.12845340676912143,False
model,critiques,142,11257,0.012614373278848717,False
model,extends,445,11257,0.03953095851470197,False
model,uses,3859,11257,0.34280891889490983,False
related_work,applies,38,44772,0.0008487447511837756,False
related_work,background,39398,44772,0.8799696238720629,False
related_work,compares_against,2979,44772,0.0665371214151702,False
related_work,critiques,1047,44772,0.02338515143393192,False
related_work,extends,519,44772,0.01159206647011525,False
related_work,uses,791,44772,0.01766729205753596,False
results,applies,18,5202,0.0034602076124567475,False
results,background,1819,5202,0.34967320261437906,False
results,compares_against,2368,5202,0.45520953479430987,False
results,critiques,105,5202,0.020184544405997693,False
results,extends,65,5202,0.012495194156093811,False
results,uses,827,5202,0.15897731641676277,False
system_description,applies,9,813,0.01107011070110701,False
system_description,background,264,813,0.3247232472324723,False
system_description,compares_against,166,813,0.20418204182041821,False
system_description,critiques,5,813,0.006150061500615006,False
system_description,extends,19,813,0.023370233702337023,False
system_description,uses,350,813,0.43050430504305043,False
task_definition,applies,2,470,0.00425531914893617,False
task_definition,background,247,470,0.5255319148936171,False
task_definition,compares_against,27,470,0.0574468085106383,False
task_definition,critiques,19,470,0.04042553191489362,False
task_definition,extends,11,470,0.023404255319148935,False
task_definition,uses,164,470,0.34893617021276596,False
unknown,applies,452,59084,0.00765012524541331,True
unknown,background,27998,59084,0.47386771376345543,True
unknown,compares_against,7381,59084,0.12492383724866292,True
unknown,critiques,1402,59084,0.023728928305463408,True
unknown,extends,1711,59084,0.02895877056394286,True
unknown,uses,20140,59084,0.3408706248730621,True
